ID,age,gender,usage_meeting_place,usage_worship,usage_arts,usage_wellbeing,usage_connections,usage_model_sustainability,usage_flexible_community/church,activities_like_to_see,usage_services,usage_festivals,reflection,usage_suggestions,modify_exterior,modify_interior,modify_sustainable_building,modify_layout_change,modify_cafe,modify_suggestions,contribute
13,50 - 70,Male,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Arts exhibitions;Live music;Live theatre;Community cafe;Community coffee mornings;Community cinema;A place to worship;Community social events;,Agree,Strongly Agree,Neutral,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Sample answer here blah blah blah...,No thanks
14,70 +,Male,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Music / singing classes;Creative workshops;Arts exhibitions;Photography;Community coffee mornings;Pop-up fruit and veg weekly market;A place to worship;Community social events;Activities for seniors;,Strongly Agree,Strongly Agree,Strongly Agree,,Neutral,Agree,Agree,Neutral,Agree,We already have a strong community spirit and  the chapel has already served as a focal point for both religious and secular events. Some modification to the layout would help further the purpose of Uniting the community within the Uniting Church.,YES -  I would be interested in becoming a volunteer
15,50 - 70,Female,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Creative workshops;Arts exhibitions;Live music;Live theatre;Community cafe;Community coffee mornings;Community cinema;Counselling / wellbeing services;Pop-up fruit and veg weekly market;Community social events;Fitness / yoga / pilates / dance classes;,Agree,Agree,Agree,,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,,YES -  I would be interested in becoming a volunteer
16,50 - 70,,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Drama;Creative workshops;Photography;Arts exhibitions;Live music;Live theatre;Community cafe;Community coffee mornings;Community cinema;Counselling / wellbeing services;Pop-up fruit and veg weekly market;Community social events;Fitness / yoga / pilates / dance classes;Community book club;,Neutral,Neutral,Neutral,,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,mental health peer support groups ,YES -  I would be interested in becoming a volunteer
17,31 - 49,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Drama;Creative workshops;Music / singing classes;Counselling / wellbeing services;Pop-up fruit and veg weekly market;A toddler group;After school club;Activities for children;Fitness / yoga / pilates / dance classes;Community book club;,Disagree,Disagree,Strongly Disagree,,Neutral,Agree,Strongly Agree,Agree,Strongly Disagree,,No thanks
18,50 - 70,Female ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Live music;Music / singing classes;Community cafe;Community coffee mornings;Community cinema;Counselling / wellbeing services;Pop-up fruit and veg weekly market;Community cookery;Fitness / yoga / pilates / dance classes;Activities for seniors;,Strongly Agree,Agree,Strongly Agree,,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Suggestions put forward are excellent & inclusive. It will keep the building alive for many years to come & be a great asset for the community ,YES -  I would be interested in becoming a volunteer
19,31 - 49,Female ,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Drama;Photography;Creative workshops;Arts exhibitions;Creative writing;Live music;Live theatre;Community coffee mornings;Community cinema;Pop-up fruit and veg weekly market;Community cookery;Fitness / yoga / pilates / dance classes;Community book club;,Agree,Agree,Neutral,,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Thought should be given to a space which doesn’t detract from what the community already offers- it should enhance our local community spaces and businesses rather than take away from them ,
20,31 - 49,Female,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Drama;Creative workshops;Arts exhibitions;Creative writing;Live music;Music / singing classes;Live theatre;Community cafe;Community cinema;Pop-up fruit and veg weekly market;Counselling / wellbeing services;A place to worship;Community cookery;Community social events;A toddler group;Activities for children;Activities for young people;Activities for seniors;Fitness / yoga / pilates / dance classes;Community book club;,Strongly Agree,Neutral,Strongly Agree,,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,"Though I wouldn't need to access the church for my own personal worship (I attend another local church) I will always encourage buildings built for this purpose to continue this mission. However, I think a community project is absolutely perfect for the sustainability of the building. Good luck to the team and thank you for taking the initiative. ",YES -  I would be interested in becoming a volunteer
21,50 - 70,Male,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Creative writing;Live music;Community cafe;Community cinema;Pop-up fruit and veg weekly market;Community social events;Community book club;Creative workshops;,Neutral,Neutral,Agree,,Neutral,Agree,Strongly Agree,Agree,Neutral,,No thanks
22,70 +,Female,Strongly Agree,Neutral,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Community cafe;Community coffee mornings;Pop-up fruit and veg weekly market;,Neutral,Neutral,Agree,Festivals should include those of other faiths,Neutral,Neutral,Strongly Agree,Agree,Agree,"Fairly new to the area.  Would welcome opportunities to meet local people and think this is a chance to open doors to people of the full demographic of the Garden Quarter - of all faiths and none, of all ages,… of all protected characteristics.",No thanks
23,50 - 70,Female,Agree,Neutral,Agree,Agree,Agree,Neutral,Strongly Agree,Live music;Community cinema;Pop-up fruit and veg weekly market;Fitness / yoga / pilates / dance classes;Community book club;Community social events;,Neutral,Disagree,Disagree,,Neutral,Agree,Agree,Agree,Agree,,YES -  I would be interested in becoming a volunteer
24,70 +,Female ,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Drama;Live music;Community cafe;Community coffee mornings;Community cinema;Activities for children;Activities for seniors;,Neutral,Agree,Agree,,Agree,Agree,Agree,Neutral,Agree,,No thanks
25,31 - 49,Female ,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Drama;Photography;Creative workshops;Arts exhibitions;Creative writing;Music / singing classes;Live music;Community cafe;Live theatre;Community coffee mornings;Counselling / wellbeing services;Community cinema;Pop-up fruit and veg weekly market;A place to worship;Community cookery;Community social events;A toddler group;After school club;Activities for children;Activities for young people;Activities for seniors;Fitness / yoga / pilates / dance classes;Community book club;,Strongly Agree,Agree,Agree,,Neutral,Neutral,Agree,Agree,Agree,,YES -  I would be interested in becoming a volunteer
26,18 - 30,Male,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Neutral,Arts exhibitions;Community cafe;Community coffee mornings;Counselling / wellbeing services;A toddler group;After school club;Activities for children;Fitness / yoga / pilates / dance classes;,Strongly Disagree,Strongly Disagree,Neutral,,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,,No thanks
27,31 - 49,Female ,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Live music;Community cafe;Community coffee mornings;Community social events;Fitness / yoga / pilates / dance classes;Community book club;,Agree,Agree,Agree,,Agree,Agree,Agree,Agree,Agree,I'm not particularly religious and being a female in my 30s I would encourage you to think about different initiatives where we could meet the local community ,YES -  I would be interested in becoming a volunteer
28,31 - 49,male,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Live music;Drama;Creative workshops;Arts exhibitions;Community cookery;Community cinema;Live theatre;Music / singing classes;,Neutral,Disagree,Agree,,Neutral,Neutral,Disagree,Agree,Disagree,"Arts are slowly eroding in schools so we need to create spaces for self expression, creative learning and sharing.",YES -  I would be interested in becoming a volunteer
29,18 - 30,Female,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Arts exhibitions;Live music;Live theatre;Community cinema;Pop-up fruit and veg weekly market;Fitness / yoga / pilates / dance classes;Community book club;,Neutral,Disagree,Strongly Agree,,Disagree,Disagree,Agree,Disagree,Strongly Agree,Let us know if you ever need any help with the community cafe! (From Garden Social) x,YES -  I would be interested in becoming a volunteer
30,18 - 30,Female,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Creative workshops;Counselling / wellbeing services;Pop-up fruit and veg weekly market;Activities for children;A toddler group;Fitness / yoga / pilates / dance classes;,Neutral,Neutral,Neutral,,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,,No thanks
31,31 - 49,Female,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Live music;Live theatre;Community cafe;Community coffee mornings;Community cinema;Counselling / wellbeing services;Pop-up fruit and veg weekly market;A place to worship;Community cookery;Community social events;A toddler group;After school club;Activities for children;,Strongly Agree,Strongly Agree,Strongly Agree,,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,As a mum of 2 small children I would love something that would entertain them and meet other mums/families in the area,YES -  I would be interested in becoming a volunteer
32,70 +,Male,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Drama;Live theatre;Photography;Arts exhibitions;Live music;Community cafe;Community coffee mornings;Community cinema;Pop-up fruit and veg weekly market;Counselling / wellbeing services;Community social events;Activities for young people;Activities for seniors;Community book club;,Strongly Agree,Strongly Agree,Neutral,,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,No thanks
33,31 - 49,Female,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Creative workshops;Arts exhibitions;Live music;Community cinema;Pop-up fruit and veg weekly market;Community social events;Fitness / yoga / pilates / dance classes;,Neutral,Disagree,Disagree,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,There are lots of great ideas here but I do think we’re over run with cafes as it is. Please let these businesses get on with what they’re doing and use this opportunity to introduce things the area doesn’t already have. More of the same seems such a waste and very short sighted,No thanks
34,50 - 70,Male,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Community cinema;Pop-up fruit and veg weekly market;,Neutral,Neutral,Neutral,,Neutral,Agree,Agree,Neutral,Agree,,No thanks
35,31 - 49,M,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Drama;Photography;Creative workshops;Arts exhibitions;Creative writing;Music / singing classes;Community cafe;Community coffee mornings;Counselling / wellbeing services;Pop-up fruit and veg weekly market;A place to worship;Community cookery;Community social events;Fitness / yoga / pilates / dance classes;Community book club;,Neutral,Neutral,Agree,,Disagree,Neutral,Agree,Neutral,Agree,I like the idea of most of your suggestions- certainly as a place of well-being and exercise ,No thanks
36,50 - 70,Female,Agree,Neutral,Agree,Strongly Agree,Agree,Neutral,Agree,Drama;Creative workshops;Live theatre;Counselling / wellbeing services;Pop-up fruit and veg weekly market;,Neutral,Neutral,Neutral,,Disagree,Neutral,Agree,Agree,Agree,,No thanks
37,70 +,male,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,Creative workshops;Arts exhibitions;Live theatre;Live music;Fitness / yoga / pilates / dance classes;Community book club;,Neutral,Disagree,Disagree,,Neutral,Neutral,Agree,Agree,Agree,,No thanks
38,50 - 70,Female,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Drama;Arts exhibitions;Live music;Music / singing classes;Live theatre;Community cafe;Community coffee mornings;Community cinema;Counselling / wellbeing services;Pop-up fruit and veg weekly market;A place to worship;Community cookery;Community social events;A toddler group;After school club;Activities for children;Activities for young people;Activities for seniors;Fitness / yoga / pilates / dance classes;Community book club;,Strongly Agree,Strongly Agree,Agree,"I have been involved previously in Youth Drama, but love the idea of live events. ",Agree,Agree,Strongly Agree,Agree,Agree,,YES -  I would be interested in becoming a volunteer
39,50 - 70,Female,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Neutral,Drama;Photography;Creative workshops;Arts exhibitions;,Neutral,Neutral,Agree,,Agree,Agree,Agree,Agree,Agree,,
40,50 - 70,Female,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Photography;Community cinema;Community cafe;Pop-up fruit and veg weekly market;,Neutral,Disagree,Agree,,Agree,Agree,Agree,Neutral,Agree,,No thanks
41,50 - 70,female,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Drama;Photography;Creative workshops;Arts exhibitions;Creative writing;Music / singing classes;Community cafe;Live theatre;Community coffee mornings;Community cinema;Counselling / wellbeing services;Pop-up fruit and veg weekly market;Community cookery;Community social events;Activities for seniors;Fitness / yoga / pilates / dance classes;Community book club;,Agree,Agree,Strongly Agree,You have already excellently covered every aspect and opportunity!,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,"A very welcome and imaginative project  that would benefit everyone in the Garden Quarter and beyond.
One query what about parking spaces for  the many visitors  outside this immediate area that this scheme would inevitably attract as is already a problem ?",YES -  I would be interested in becoming a volunteer
42,70 +,Male,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Community cafe;Community coffee mornings;,Agree,Neutral,Agree,,Agree,Agree,Agree,Agree,Strongly Agree,Important to give the community a space they can use.,No thanks
43,50 - 70,Male,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Arts exhibitions;Music / singing classes;Community coffee mornings;Activities for seniors;,Strongly Agree,Strongly Agree,Strongly Agree,"Councillors' surgeries and CAB. 
",Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Need for space nearby for parking. ,YES -  I would be interested in becoming a volunteer
44,70 +,Male,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Arts exhibitions;Live theatre;Community cafe;Community cinema;Counselling / wellbeing services;Pop-up fruit and veg weekly market;A place to worship;Community cookery;Community social events;Activities for seniors;Community book club;,Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,"As a local resident living close to the Uniting Church, I feel strongly that the building should maintain its original function as a place of worship for the local community. However, I am also encouraged that the ""church community"" recognises the need to focus on the future for their building. It is a fundamental feature in the wider concept  of the Garden Quarter, writ large, and it is essential that it be developed in a manner that ensures it will continue as a dynamic hub for the wider community. That would secure both the future of the building and secure its role as a place of welcome, worship and community participation, involving as many folk as possible across all age ranges.",YES -  I would be interested in becoming a volunteer
45,50 - 70,Female,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Drama;Photography;Creative workshops;Arts exhibitions;Creative writing;Live music;Live theatre;Community cafe;Community cinema;Pop-up fruit and veg weekly market;A place to worship;Community cookery;Community social events;Activities for seniors;Community book club;,Agree,Strongly Agree,Strongly Agree,"As a resident, I see community interest and engagement with non-traditional worship opportunities",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"As a gathering space at the heart of the neighbourhood which is open during the week, with activities which support community cohesion",YES -  I would be interested in becoming a volunteer
46,50 - 70,Femalw,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Photography;Creative workshops;Arts exhibitions;Creative writing;Live music;Community cafe;Community cinema;Pop-up fruit and veg weekly market;Fitness / yoga / pilates / dance classes;Community book club;,Agree,Neutral,Neutral,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,,
47,50 - 70,Female,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Drama;Creative workshops;Arts exhibitions;Live music;Live theatre;Community cafe;Community coffee mornings;Community cinema;Counselling / wellbeing services;Pop-up fruit and veg weekly market;Community cookery;Community social events;Fitness / yoga / pilates / dance classes;Community book club;,Neutral,Strongly Disagree,Strongly Disagree,,Neutral,Neutral,Strongly Agree,Neutral,Agree,,YES -  I would be interested in becoming a volunteer
48,31 - 49,Male,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Creative workshops;Photography;Live music;Community cinema;,Neutral,Neutral,Neutral,,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,,No thanks
49,31 - 49,Female,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Creative workshops;Arts exhibitions;Live music;Community cinema;Counselling / wellbeing services;Pop-up fruit and veg weekly market;Fitness / yoga / pilates / dance classes;Community book club;,Strongly Agree,Disagree,Neutral,"Donation area for crisis response (e.g. food bank during pandemic lockdowns, donations to support Afghan refugees).
Community clothes swap event
Location for community terracycle recycling schemes for difficult items (eg crisp packets)
Evening classes (maths, English, other languages etc)",Neutral,Neutral,Strongly Agree,Neutral,Strongly Agree,,YES -  I would be interested in becoming a volunteer
50,31 - 49,Female,Agree,Agree,Neutral,Strongly Agree,Agree,Neutral,Strongly Agree,Live music;Live theatre;Community cinema;Pop-up fruit and veg weekly market;Community cookery;After school club;Activities for young people;Activities for seniors;,Neutral,Agree,Neutral,,Neutral,Neutral,Neutral,Neutral,Agree,,
51,31 - 49,,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Live music;Live theatre;Community cinema;Activities for young people;Activities for seniors;,Agree,Neutral,Agree,,Agree,Agree,Neutral,Agree,Agree,,No thanks
52,50 - 70,Female,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Creative workshops;Arts exhibitions;Live music;Community cafe;Pop-up fruit and veg weekly market;Activities for young people;Activities for seniors;,Neutral,Neutral,Neutral,,Agree,Agree,Agree,Agree,Strongly Agree,,YES -  I would be interested in becoming a volunteer
53,50 - 70,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Pop-up fruit and veg weekly market;Community social events;Activities for seniors;Counselling / wellbeing services;Community cafe;,Agree,Disagree,Agree,,Neutral,Agree,Agree,Agree,Agree,,YES -  I would be interested in becoming a volunteer
54,31 - 49,Female ,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Drama;Creative workshops;Live music;Music / singing classes;Live theatre;Pop-up fruit and veg weekly market;Fitness / yoga / pilates / dance classes;,Disagree,Disagree,Disagree,"I think this should be a place accessible for and to all. I think the space could be used for creative purposes to suit the wider demographic of the area. Whether that be monthly markets (a bit like makers market on a smaller scale), 2nd hand clothing sales, performance art space/ fitness space rentals and usage to offer regular income for ongoing maintenance and more! ",Disagree,Strongly Agree,Agree,Agree,Neutral,,
55,31 - 49,Female ,Agree,Strongly disagree,Strongly Agree,Agree,Agree,Neutral,Strongly disagree,Photography;Creative workshops;Arts exhibitions;Creative writing;Live music;Music / singing classes;Live theatre;Community cafe;Community cinema;Pop-up fruit and veg weekly market;Activities for children;Fitness / yoga / pilates / dance classes;,Neutral,Neutral,Disagree,,Neutral,Agree,Agree,Agree,Strongly Agree,,
56,70 +,Male,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Drama;Arts exhibitions;Live music;Music / singing classes;Community cafe;Community coffee mornings;Community cinema;Counselling / wellbeing services;Pop-up fruit and veg weekly market;Community cookery;Community social events;,Neutral,Neutral,Neutral,,Agree,Agree,Agree,Neutral,Agree,,YES -  I would be interested in becoming a volunteer
57,31 - 49,Female,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Drama;Photography;Creative workshops;Arts exhibitions;Live music;Music / singing classes;Community cafe;Community coffee mornings;Pop-up fruit and veg weekly market;Community social events;After school club;Activities for children;Fitness / yoga / pilates / dance classes;Community book club;,Neutral,Strongly Agree,Agree,"Space where young people in the community can have their own clubs to reflect their interests, and be supported by adults and an infrastructure (ie. Use of building, featured in any timetable/brochure of events, refreshments, help setting up and cleaning away) to meet safely whilst taking a lead and ownership of their club. (Eg. A weekly slot where a kid can advertise a Club on their choosing, e.g Lego Club,  that would last for say, ten weeks. Before it starts they could be supported to plan the 10 weeks (eg. weekly build themes, practicalities such as where to source bricks). 

Programmed events would be amazing, such a concerts of local performers (e.g. Chester uni music department, chamber music, local acoustic performers, bands), poetry readings, choirs etc. It would be great for this to be inclusive of music and literature from people from the diverse range of ethnic backgrounds in the area.

Community ceilidhs! ",Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,"This would be amazing for the Garden Quarter. It is hard to meet people locally and as a parent with young kids, the only place to meet up are local parks which are time limited due to lack of public toilet facilities and are also weather dependent. It would be great to have a programme of regular community and cultural events to help deliver and enjoy - it would make the community more cohesive and help balance out some of the transient nature of the local community due to high student population. Strong communities are vital to wellbeing but it is hard to build community without a shared space to meet. ",YES -  I would be interested in becoming a volunteer
58,31 - 49,,Neutral,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Live music;Live theatre;,Strongly Disagree,Strongly Disagree,Strongly Disagree,,Agree,Neutral,Neutral,Agree,Disagree,,
59,50 - 70,Female ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Drama;Creative workshops;Arts exhibitions;Live music;Music / singing classes;Live theatre;Community cafe;Community coffee mornings;Community cinema;Pop-up fruit and veg weekly market;A place to worship;Community social events;Activities for young people;Fitness / yoga / pilates / dance classes;Community book club;,Agree,Neutral,Agree,,Neutral,Agree,Agree,Neutral,Agree,"I think this building has been used as a multi purpose space very successfully for a number of years . Myself and my family have attended events such as worship , drama club , yoga , cinema , children’s activities , wildlife workshops , theatre productions , arts initiatives there . This shows there is a need for this type of facility in our community and that the space is very important for the community . It used to be that the church provided for the community’s needs week in week out - with three well attended services each Sunday providing a focal point for community gatherings, spiritual and moral well being and support . Society has shifted and although people still have the same needs for community , togetherness, music , warmth and support people no longer find this on a Sunday in a formal church service In the numbers they used to . So a wider variety of activities are needed to make sure people’s mental health and need for community is met - particularly given the huge chasms of inequality and mental health issues which are now more prevalent in our country than ever. Both of these issues have community disconnection and alienation at their heart . The govt is providing less and less as the state shrinks back - and this requires individuals  and communities to step up to look after ourselves . We need spaces to do this . The community NEEDS this space as a hub and it would Be a Devastating loss if the Community could no longer use it .

 I don’t particularly have a vision for how the building needs to change physically to allow this development but would be really interested to see others ideas to inspire me . Whatever changes take place we should respect the original sacred nature of the space As much as possible whilst also allowing its future multi purpose development . It is possible and important to do both . The chapel has a wonderful atmosphere of inclusivity that has community at its heart which can be celebrated and extended so everyone can feel the special nature of this space in a way they is supportive and meaningful to them personally . 

Many thanks to all those leading on this project it is very important . ",YES -  I would be interested in becoming a volunteer
60,31 - 49,Female,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Community book club;Fitness / yoga / pilates / dance classes;Activities for seniors;Activities for young people;Activities for children;After school club;A toddler group;Community social events;A place to worship;Community cookery;Pop-up fruit and veg weekly market;Counselling / wellbeing services;Community cinema;Community coffee mornings;Community cafe;Live theatre;Live music;Music / singing classes;Creative writing;Arts exhibitions;Photography;Creative workshops;Drama;,Neutral,Agree,Neutral,"One of the things I’ve really missed is the Garden Lane Festival. Pre-Covid this event was one that we really enjoyed. Felt like a community or businesses abs residents of all ages just spending time together and celebrating our little patch of Chester with music, crafts, yoga, food and drink. I’d love to see it come back. Maybe this building can help facilitate planning to bring this back ",Agree,Neutral,Agree,Agree,Agree,I love this community. Any opportunities to bring us all together are welcome. The new coffee shops are great and give us new places to meet. Engaging with the local businesses to support the building as a community hub would be good. ,No thanks
